2016-01-18,Ebola Death Confirmed Hours After Outbreak Declared Over,Breitbart,"['As Sierra Leone continues to grapple with the virus itself, Guinea and Liberia—the two other nations hardest hit by the outbreak—are struggling to reconstruct critical infrastructure affected by the thousands of deaths in the wake of Ebola.', 'Liberian officials are currently investigating reports of corruption within Ebola medical programs.']",0.25,0.75,liberia
2016-01-30,Texas Health Officials Brace for More Zika Virus Cases After Six Confirmed Statewide,Breitbart,"['Dallas last faced a serious health threat in 2014 when a Liberian man, infected with the highly contagious Ebola virus, brought the first case of the deadly illness into the U.S. through Dallas, which Breitbart Texas covered extensively.']",1.0,0.0,liberia
2016-02-06,"After Ebola, Surf's Up Again In Liberia",NPR,"[""It's a hot Saturday afternoon in Robertsport, a sleepy fishing town a few hours' drive up the coast from Monrovia, Liberia, and the boys are watching their peers compete in the town's annual surfing championship."", ""For Liberians who don't have access to much cash, surfing is the perfect sport."", 'When I first started surfing here nine years ago, there was one [Liberian] surfer.', 'This is the first year that the competition\'s been 100 percent organized by Liberians,"" says Bubbs. ""', 'Scars from the outbreak remain, but like the waves being drawn back into the sea, Ebola has receded from Liberia., ""', 'We can\'t let people say, \'Oh, y\'all got good waves in Liberia but you don\'t surf them,\' "" McCrumade says. ""']",0.4166666666666667,0.44876373392787533,liberia
2016-02-27," Who Will Win, And Who Should Win, At This Year’s Oscars",Buzzfeed News,"['Of these, I think Body Team 12 — which is about the lives of an Ebola response team in Liberia — will win.']",1.0,0.0,liberia
2016-03-23,Govt Report: Welfare Usage Spikes Among Refugees from Predominantly Muslim Regions - Breitbart,Breitbart,"['African nations are listed as: Benin, Burundi, Central African Republic, Congo, Djibouti, Egypt, Eritrea, Ethiopia, Kenya, Liberia, Malta, Rwanda, South Africa, Somalia, Sudan, Tanzania, Uganda, and Zambia.']",1.0,0.0,liberia
2016-04-26,My Fargo,Atlantic,"['The list of countries from which these refugees fled reads like an atlas of human atrocity: Bosnia, Somalia, Iraq, Bhutan, Sudan, the Congo, Liberia, Ethiopia, Rwanda, and Afghanistan.']",1.0,0.0,liberia
2016-04-29,Ebola Carriers? Why The Virus Keeps Coming Back,NPR,"['But it has played a big role in keeping Ebola around in Liberia, an international team of scientists reports Friday in the journal Science Advances., ""', 'So far, sexual transmission has likely caused at least two of the Ebola flare-ups recorded in Guinea and Liberia — which, in some ways, is a relief, Bausch says., ""', 'When Ebola first returned to Liberia last June, epidemiologists were stumped.', 'People were saying this is probably the most important Ebola genome sequence that has been generated thus far,"" Ladner says, because they hoped it would tell them how Ebola had returned to Liberia.,', ""The sequence for each patient's virus almost perfectly matched the one circulating in Liberia nearly a year earlier."", 'That meant the new cases in Liberia came from a dormant virus, hidden inside a survivor for more than a year.,']",0.5,0.7071067811865476,liberia
2016-05-10,"As War Dangers Multiply, Doctors Without Borders Struggles To Adapt",NPR,"['Michiel Hofman began working with Doctors Without Borders, known internationally as Médecins Sans Frontières (MSF), in 1992 in Liberia.']",1.0,0.0,liberia
2016-05-18,Identity Politics Are Ripping Us Apart,National Review,"['But lumping the history of England with the history of, say, Ukraine and calling that “white history” is absurd — just as absurd as linking the ancient history of Ethiopia with the modern history of Liberia and calling that “black history.”']",1.0,0.0,liberia
2016-06-29,"Michelle Obama Celebrates Ramadan, Breaks Fast with Iftar Dinner - Breitbart",Breitbart,"['The First Lady is traveling this summer with her daughters and mother to Liberia, Morocco and Spain, under the umbrella of her “Let Girls Learn” initiative.']",1.0,0.0,liberia
